Дата	Время	Вид ДТП	Место	Улица	Дом	Дорога	Километр	Метр	Долгота	Долгота, градусы	Долгота, минуты	Долгота, секунды	Широта	Широта, градусы	Широта, минуты	Широта, секунды	Погибло	Погибло детей	Ранено	Ранено детей
01.01.2015	4:20	Наезд на стоящее ТС	Республика Марий Эл, Моркинский район, Шалинский, д Большие Шали	Молодежная ул	2				48.8331	48	49	59	56.43	56	25	48	0	0	0	0
01.01.2015	4:00	Съезд с дороги	Республика Марий Эл, Волжский район			Йошкар-Ола - Зеленодольск до магистрали "Волга"	76	500	48.3822	48	22	55	56.0356	56	2	8	0	0	0	0
01.01.2015	3:00	Столкновение	Республика Марий Эл, Волжский район			Помары - Коркатово	38	600	48.7622	48	45	43	56.3497	56	20	58	0	0	0	0
01.01.2015	2:00	Съезд с дороги	Республика Марий Эл, Медведевский район			Ореховка - Краснооктябрьский - Большие Шапы	3	150	47.4015	47	24	5	56.3956	56	23	44	0	0	0	0
01.01.2015	1:30	Столкновение	Республика Марий Эл, Йошкар-Ола	Вознесенская	108				47.8964	47	53	47	56.63	56	37	48	0	0	0	0
01.01.2015	1:00	Столкновение	Республика Марий Эл, Йошкар-Ола	Комсомольская ул	155				47.8928	47	53	34	56.6353	56	38	7	0	0	0	0
01.02.2015	23:15	Столкновение	Республика Марий Эл, Волжский район			Йошкар-Ола - Зеленодольск до магистрали "Волга"	80	400	48.3831	48	22	59	56.0831	56	4	59	0	0	0	0
01.02.2015	21:50	Наезд на стоящее ТС	Республика Марий Эл, Йошкар-Ола	Дружбы ул	97				47.8656	47	51	56	56.66	56	39	36	0	0	0	0
01.02.2015	20:40	Съезд с дороги	Республика Марий Эл, Куженерский район			Одобеляк - Куженер - Параньга	3	0	48.8328	48	49	58	56.8164	56	48	59	0	0	0	0
01.02.2015	19:00	Столкновение	Республика Марий Эл, Волжск	Ленина ул	69				48	48	0	0	55	55	0	0	0	0	0	0
01.02.2015	18:45	Наезд на стоящее ТС	Республика Марий Эл, Волжск	Йошкар-Олинское шоссе ул	10				48	48	0	0	55	55	0	0	0	0	0	0
01.02.2015	18:35	Столкновение	Республика Марий Эл, Звениговский район			Йошкар-Ола - Зеленодольск до магистрали "Волга"	42	550	48.3683	48	22	5	56.5683	56	34	5	0	0	0	0
01.02.2015	18:10	Столкновение	Республика Марий Эл, Горномарийский район, Козьмодемьянск	Гагарина ул	25				46.5347	46	32	4	56.3183	56	19	5	0	0	2	0
01.02.2015	17:40	Съезд с дороги	Республика Марий Эл, Медведевский район			от Чебоксар через плотину Чебоксарской ГЭС на Йошкар-Олу, Киров до Сыктывкара	72	400	47.5016	47	30	5	56.2736	56	16	24	0	0	0	0
01.02.2015	17:27	Столкновение	Республика Марий Эл, Йошкар-Ола	Сернурская ул	2				47.8567	47	51	24	56.6408	56	38	26	0	0	0	0
01.02.2015	17:25	Столкновение	Республика Марий Эл, Йошкар-Ола	Сернурская ул	6				47.8892	47	53	21	56.64	56	38	24	0	0	0	0
01.02.2015	17:20	Наезд на стоящее ТС	Республика Марий Эл, Йошкар-Ола	Димитрова ул	58				47.8508	47	51	2	56.6456	56	38	44	0	0	0	0
01.02.2015	17:05	Столкновение	Республика Марий Эл, Йошкар-Ола	Серова ул	52				47.8942	47	53	39	56.6431	56	38	35	0	0	0	0
01.02.2015	17:00	Столкновение	Республика Марий Эл, Йошкар-Ола	Строителей ул	95				47.8544	47	51	15	56.6228	56	37	22	0	0	0	0
01.02.2015	16:40	Наезд на стоящее ТС	Республика Марий Эл, Медведевский район, Юбилейный, п Юбилейный	Зеленая ул	1				48.1246	48	7	28	56.4451	56	26	42	0	0	0	0
01.02.2015	16:00	Наезд на стоящее ТС	Республика Марий Эл, Горномарийский район			Козьмодемьянск - Большой Сундырь	2	0	46.5344	46	32	3	56.3022	56	18	7	0	0	0	0
01.02.2015	15:15	Столкновение	Республика Марий Эл, Йошкар-Ола	Набережная Брюгге ул.	1				47.9131	47	54	47	56.6367	56	38	12	0	0	0	0
01.02.2015	14:50	Наезд на стоящее ТС	Республика Марий Эл, Медведевский район			Йошкар-Ола - Козьмодемьянск	7	130	47.8253	47	49	31	56.6404	56	38	25	0	0	0	0
01.02.2015	14:40	Опрокидывание	Республика Марий Эл, Оршанский район			Оршанка - Пектубаево - Новый Торъял	1	750	47.9072	47	54	25	56.9247	56	55	28	0	0	0	0
01.02.2015	14:31	Столкновение	Республика Марий Эл, Йошкар-Ола	Советская ул	116				47.8567	47	51	24	56.6408	56	38	26	0	0	0	0
01.02.2015	14:30	Столкновение	Республика Марий Эл, Йошкар-Ола	Красноармейская ул	66				47.8894	47	53	21	56.6431	56	38	35	0	0	0	0
