01.01.2015,4:00,Съезд с дороги,"Республика Марий Эл, Волжский район",,,"Йошкар-Ола - Зеленодольск до магистрали ""Волга""",76,500,48.3822,56.0356,0,0,0,0
01.01.2015,3:00,Столкновение,"Республика Марий Эл, Волжский район",,,Помары - Коркатово,38,600,48.7622,56.3497,0,0,0,0
01.01.2015,2:00,Съезд с дороги,"Республика Марий Эл, Медведевский район",,,Ореховка - Краснооктябрьский - Большие Шапы,3,150,47.4015,56.3956,0,0,0,0
01.01.2015,1:30,Столкновение,"Республика Марий Эл, Йошкар-Ола",Вознесенская,108,,,,47.8964,56.63,0,0,0,0
01.01.2015,1:00,Столкновение,"Республика Марий Эл, Йошкар-Ола",Комсомольская ул,155,,,,47.8928,56.6353,0,0,0,0
02.01.2015,23:52,Столкновение,"Республика Марий Эл, Йошкар-Ола",Либкнехта ул,58,,,,47.8572,56.4706,0,0,0,0
02.01.2015,23:45,Столкновение,"Республика Марий Эл, Йошкар-Ола",Вашская ул,7,,,,47.8903,56.6283,0,0,0,0
02.01.2015,21:50,Столкновение,"Республика Марий Эл, Йошкар-Ола",Сернурская ул,8,,,,47.9797,56.6628,0,0,0,0
02.01.2015,21:35,Столкновение,"Республика Марий Эл, Йошкар-Ола",Дружбы ул,87,,,,47.8592,56.6575,0,0,0,0
02.01.2015,21:00,Наезд на стоящее ТС,"Республика Марий Эл, Йошкар-Ола",Дружбы ул,89 а,,,,47.8739,56.6375,0,0,0,0
02.01.2015,20:40,Столкновение,"Республика Марий Эл, Параньгинский район, Параньга",Тукаевская ул,67,,,,49.4025,56.7075,0,0,2,1
02.01.2015,20:20,Наезд на пешехода,"Республика Марий Эл, Йошкар-Ола",Прохорова ул,14 Б,,,,47.8431,56.6358,0,0,0,0
02.01.2015,20:00,Столкновение,"Республика Марий Эл, Куженерский район",,,Одобеляк - Куженер - Параньга,4,0,48.8447,56.8136,0,0,0,0
02.01.2015,19:50,Наезд на стоящее ТС,"Республика Марий Эл, Йошкар-Ола",Анциферова ул,10,,,,47.2386,56.4697,0,0,0,0
02.01.2015,18:55,Столкновение,"Республика Марий Эл, Йошкар-Ола",Эшкинина ул,22б,,,,47.4114,56.5744,0,0,0,0
02.01.2015,17:55,Столкновение,"Республика Марий Эл, Йошкар-Ола",Строителей ул,7,,,,47.9089,56.6328,0,0,0,0
02.01.2015,17:41,Столкновение,"Республика Марий Эл, Медведевский район",,,Йошкар-Ола - Козьмодемьянск,26,100,47.5112,56.5956,0,0,0,0
02.01.2015,17:25,Столкновение,"Республика Марий Эл, Йошкар-Ола",Красноармейская ул,114,,,,47.8572,56.6444,0,0,0,0
02.01.2015,17:20,Столкновение,"Республика Марий Эл, Волжский район",,,"Йошкар-Ола - Зеленодольск до магистрали ""Волга""",91,0,48.3678,55.9189,0,0,0,0
02.01.2015,17:00,Столкновение,"Республика Марий Эл, Йошкар-Ола",Машиностроителей ул.,75,,,,47.9069,56.6458,0,0,0,0
02.01.2015,16:55,Столкновение,"Республика Марий Эл, Йошкар-Ола",Баумана ул,11,,,,47.6097,56.8033,0,0,0,0
02.01.2015,16:25,Столкновение,"Республика Марий Эл, Йошкар-Ола",Советская ул,106,,,,47.8989,56.6369,0,0,0,0
02.01.2015,15:58,Столкновение,"Республика Марий Эл, Моркинский район",,,Звенигово - Шелангер - Морки,75,510,48.7517,56.3594,0,0,0,0
02.01.2015,15:40,Наезд на препятствие,"Республика Марий Эл, Медведевский район",,,"Йошкар-Ола - Зеленодольск до магистрали ""Волга""",22,140,48.0279,56.5067,0,0,1,0
02.01.2015,15:35,Столкновение,"Республика Марий Эл, Йошкар-Ола",Мира ул,52,,,,47.9397,56.6353,0,0,0,0
02.01.2015,15:20,Наезд на стоящее ТС,"Республика Марий Эл, Йошкар-Ола",Кремлевская,19,,,,47.8572,56.4725,0,0,0,0
02.01.2015,14:55,Наезд на стоящее ТС,"Республика Марий Эл, Волжск",Ленина ул,52,,,,48.3639,55.8647,0,0,0,0
02.01.2015,14:00,Столкновение,"Республика Марий Эл, Йошкар-Ола",Победы б-р,14,,,,47.8772,56.6392,0,0,2,0
02.01.2015,13:55,Столкновение,"Республика Марий Эл, Йошкар-Ола",Суворова ул,3,,,,47.8783,56.6297,0,0,0,0
02.01.2015,13:50,Столкновение,"Республика Марий Эл, Йошкар-Ола",Анциферова ул,15,,,,47.9375,56.8042,0,0,0,0
02.01.2015,13:30,Наезд на стоящее ТС,"Республика Марий Эл, Йошкар-Ола",Куйбышева ул,57,,,,47.8572,56.6414,0,0,0,0
02.01.2015,13:20,Столкновение,"Республика Марий Эл, Йошкар-Ола",Чавайна б-р,36,,,,47.6264,56.9603,0,0,0,0
02.01.2015,13:00,Столкновение,"Республика Марий Эл, Горномарийский район, Козьмодемьянск",Гагарина ул,25,,,,46.55,56.3333,0,0,0,0
02.01.2015,13:00,Опрокидывание,"Республика Марий Эл, Медведевский район",,,Йошкар-Ола - Козьмодемьянск,16,120,47.3962,56.3833,0,0,0,0
02.01.2015,12:50,Наезд на стоящее ТС,"Республика Марий Эл, Медведевский район, Руэмский, п Руэм",Шумелева ул,17,,,,47.4544,56.378,0,0,0,0
02.01.2015,12:20,Наезд на стоящее ТС,"Республика Марий Эл, Йошкар-Ола",Чавайна б-р,16,,,,47.8558,56.6414,0,0,0,0
02.01.2015,11:35,Столкновение,"Республика Марий Эл, Медведевский район, Кузнецовский, д Новое Комино",Дружбы ул,11,,,,48.0165,56.4315,0,0,0,0
02.01.2015,11:30,Столкновение,"Республика Марий Эл, Советский район",,,Йошкар-Ола - Уржум,42,0,48.4831,56.7525,0,0,0,0
02.01.2015,11:00,Столкновение,"Республика Марий Эл, Йошкар-Ола",Данилова б-р,92,,,,47.9725,56.575,0,0,0,0
02.01.2015,11:00,Опрокидывание,"Республика Марий Эл, Сернурский район",,,Йошкар-Ола - Уржум,80,0,49.0533,56.8958,0,0,0,0
02.01.2015,9:00,Столкновение,"Республика Марий Эл, Йошкар-Ола",Маркса ул,114,,,,47.8944,56.6281,0,0,0,0
02.01.2015,8:10,Столкновение,"Республика Марий Эл, Йошкар-Ола",Звездная ул,4,,,,47.9056,56.615,0,0,0,0
02.01.2015,3:30,Опрокидывание,"Республика Марий Эл, Волжский район",,,Помары - Коркатово,6,450,48.4603,55.9597,0,0,1,0
02.01.2015,2:15,Столкновение,"Республика Марий Эл, Куженерский район, Куженер",Советская ул,10а,,,,48.9136,56.8089,0,0,0,0
02.01.2015,2:00,Столкновение,"Республика Марий Эл, Волжск",Горная ул,1,,,,48.3878,55.8514,0,0,0,0
02.01.2015,1:00,Опрокидывание,"Республика Марий Эл, Медведевский район",,,Йошкар-Ола - Санчурск,22,154,47.7967,56.6679,0,0,0,0
03.01.2015,22:30,Столкновение,"Республика Марий Эл, Медведевский район, Медведево",Терешковой ул,20,,,,47.8083,56.6336,0,0,0,0
03.01.2015,22:10,Столкновение,"Республика Марий Эл, Медведевский район",,,Йошкар-Ола - Уржум,23,120,48.1034,56.4417,0,0,0,0
03.01.2015,21:05,Столкновение,"Республика Марий Эл, Йошкар-Ола",Дружбы ул,95,,,,47.8631,56.6531,0,0,0,0
03.01.2015,18:35,Столкновение,"Республика Марий Эл, Йошкар-Ола",Эшкинина ул,22,,,,47.9128,56.6369,0,0,0,0
03.01.2015,18:05,Столкновение,"Республика Марий Эл, Йошкар-Ола",Красноармейская ул,111,,,,47.9128,56.6369,0,0,0,0
03.01.2015,17:50,Столкновение,"Республика Марий Эл, Йошкар-Ола",Эшпая ул,135,,,,47.8822,56.6378,0,0,0,0
03.01.2015,17:25,Столкновение,"Республика Марий Эл, Йошкар-Ола",Димитрова ул,66,,,,47.8553,56.6456,0,0,0,0
03.01.2015,17:15,Столкновение,"Республика Марий Эл, Мари-Турекский район",,,Мари-Турек - Мари-Купта - Аимково,2,0,49.9689,56.8019,0,0,0,0
03.01.2015,16:30,Столкновение,"Республика Марий Эл, Моркинский район, Морки",Советская ул,2,,,,48.9981,56.4289,0,0,0,0
03.01.2015,16:00,Столкновение,"Республика Марий Эл, Мари-Турекский район",,,Елеево - Мари-Турек - Лопово,18,0,49.6653,56.7722,0,0,0,0
03.01.2015,16:00,Наезд на стоящее ТС,"Республика Марий Эл, Медведевский район, Ежовский, с Ежово",Олега Кошевого ул,9,,,,48.6581,56.4258,0,0,0,0
03.01.2015,15:45,Столкновение,"Республика Марий Эл, Моркинский район, Морки",Первомайская ул,1,,,,48.8464,56.445,0,0,0,0
03.01.2015,15:30,Столкновение,"Республика Марий Эл, Йошкар-Ола",Строителей ул,38,,,,47.8325,56.6372,0,0,0,0
03.01.2015,15:30,Столкновение,"Республика Марий Эл, Звениговский район",,,Звенигово - Шелангер - Морки,5,0,48.0022,55.9858,0,0,0,0
03.01.2015,15:00,Наезд на стоящее ТС,"Республика Марий Эл, Мари-Турекский район, Мари-Турек",Комсомольская ул,78,,,,49.5856,56.7836,0,0,0,0
03.01.2015,13:40,Столкновение,"Республика Марий Эл, Йошкар-Ола",Эшкинина ул,3,,,,47.905,56.6283,0,0,0,0
03.01.2015,13:10,Столкновение,"Республика Марий Эл, Йошкар-Ола",Панфилова ул,33,,,,47.8678,56.6175,0,0,0,0
03.01.2015,13:00,Столкновение,"Республика Марий Эл, Моркинский район, Семисолинский, д Семисола",Механизаторов ул,30,,,,49.7639,56.5231,0,0,0,0
03.01.2015,12:30,Наезд на препятствие,"Республика Марий Эл, Йошкар-Ола",Панфилова ул,33,,,,47.8803,56.6264,0,0,0,0
03.01.2015,12:30,Наезд на стоящее ТС,"Республика Марий Эл, Горномарийский район, Козьмодемьянск",Космонавтов б-р,5,,,,46.5353,56.3333,0,0,0,0
03.01.2015,11:40,Столкновение,"Республика Марий Эл, Медведевский район",,,"от Чебоксар через плотину Чебоксарской ГЭС на Йошкар-Олу, Киров до Сыктывкара",59,124,47.4934,56.223,0,0,2,0
03.01.2015,11:30,Столкновение,"Республика Марий Эл, Йошкар-Ола",Воинов-интернационалистов ул,35,,,,47.9089,56.6378,0,0,0,0
03.01.2015,11:30,Столкновение,"Республика Марий Эл, Медведевский район",,,"Йошкар-Ола - Зеленодольск до магистрали ""Волга""",35,100,48.187,56.3896,0,0,7,2
03.01.2015,10:55,Наезд на препятствие,"Республика Марий Эл, Волжск",Транспортная ул,3,,,,48.3667,55.8867,0,0,1,0
03.01.2015,10:50,Съезд с дороги,"Республика Марий Эл, Медведевский район",,,,,,48.085,56.644,0,0,0,0
03.01.2015,10:40,Опрокидывание,"Республика Марий Эл, Медведевский район",,,"от Чебоксар через плотину Чебоксарской ГЭС на Йошкар-Олу, Киров до Сыктывкара",79,400,47.5046,56.303,0,0,0,0
03.01.2015,9:50,Столкновение,"Республика Марий Эл, Йошкар-Ола",Красноармейская ул,112,,,,47.8583,56.645,0,0,0,0
03.01.2015,9:00,Столкновение,"Республика Марий Эл, Йошкар-Ола",Рябинина ул,12,,,,47.8772,56.6392,0,0,0,0
03.01.2015,8:15,Столкновение,"Республика Марий Эл, Медведевский район",,,Куяр - Солнечный - Ронга,2,120,47.5934,56.3457,0,0,0,0
03.01.2015,8:05,Наезд на препятствие,"Республика Марий Эл, Медведевский район",,,объездная г. Йошкар-Ола,40,120,48.2337,56.3929,0,0,0,0
03.01.2015,6:00,Наезд на пешехода,"Республика Марий Эл, Звениговский район, Шелангерский, д Спартак",,,"Йошкар-Ола - Зеленодольск до магистрали ""Волга""",54,550,48.3878,56.3522,0,0,1,0
03.01.2015,6:00,Наезд на стоящее ТС,"Республика Марий Эл, Медведевский район, Руэмский, п Руэм",Шумелева ул,24,,,,47.4515,56.3743,0,0,0,0
03.01.2015,6:00,Опрокидывание,"Республика Марий Эл, Волжский район",,,Помары - Коркатово,3,450,48.4172,55.9678,0,0,0,0
03.01.2015,4:05,Опрокидывание,"Республика Марий Эл, Горномарийский район",,,Козьмодемьянск - Большой Сундырь,15,0,46.9169,56.3511,0,0,0,0
03.01.2015,3:00,Съезд с дороги,"Республика Марий Эл, Звениговский район",,,Суслонгер - Мочалище - Филиппсола,7,650,48.6294,56.5294,0,0,1,0
04.01.2015,23:10,Наезд на стоящее ТС,"Республика Марий Эл, Йошкар-Ола",Кремвская,24,,,,47.8906,56.6392,0,0,0,0
04.01.2015,22:30,Столкновение,"Республика Марий Эл, Йошкар-Ола",Краснофлотская ул,29,,,,47.8739,56.7975,0,0,0,0
04.01.2015,22:20,Столкновение,"Республика Марий Эл, Йошкар-Ола",Машиностроителей ул.,57,,,,47.8714,56.6392,0,0,0,0
04.01.2015,21:00,Столкновение,"Республика Марий Эл, Йошкар-Ола",Петрова ул,20,,,,47.9228,56.6361,0,0,0,0
04.01.2015,20:35,Наезд на препятствие,"Республика Марий Эл, Йошкар-Ола",Прохорова ул,32А,,,,47.8322,56.6328,0,0,0,0
04.01.2015,20:20,Наезд на препятствие,"Республика Марий Эл, Звениговский район, Красногорский",Госпитальная ул,10,,,,48.2858,56.155,0,0,0,0
04.01.2015,18:00,Столкновение,"Республика Марий Эл, Йошкар-Ола",Кремлевская,19,,,,47.8922,56.6389,0,0,0,0
04.01.2015,18:00,Столкновение,"Республика Марий Эл, Горномарийский район, Козьмодемьянск",Космонавтов б-р,14,,,,46.5353,56.3333,0,0,0,0
04.01.2015,17:30,Столкновение,"Республика Марий Эл, Йошкар-Ола",Строителей ул,1,,,,47.8572,56.6394,0,0,0,0
04.01.2015,16:00,Наезд на препятствие,"Республика Марий Эл, Горномарийский район, Козьмодемьянск",8 Марта ул,16,,,,46.5525,56.3342,0,0,2,0
04.01.2015,16:00,Наезд на препятствие,"Республика Марий Эл, Звениговский район",,,"Йошкар-Ола - Зеленодольск до магистрали ""Волга""",65,0,48.525,56.2481,0,0,0,0
